x,y,z,status
-2.0,4.3,0.0,NotYet
-2.0,4.4,0.0,NotYet
-2.0,4.5,0.0,NotYet
-2.0,4.6,0.0,NotYet
-2.0,4.7,0.0,NotYet
-1.9,4.3,0.0,NotYet
-1.9,4.4,0.0,NotYet
-1.9,4.5,0.0,NotYet
-1.9,4.6,0.0,NotYet
-1.9,4.7,0.0,NotYet
-1.8,4.3,0.0,NotYet
-1.8,4.4,0.0,NotYet
-1.8,4.5,0.0,NotYet
-1.8,4.6,0.0,NotYet
-1.8,4.7,0.0,NotYet
-1.7,4.3,0.0,NotYet
-1.7,4.4,0.0,NotYet
-1.7,4.5,0.0,NotYet
-1.7,4.6,0.0,NotYet
-1.7,4.7,0.0,NotYet
-1.6,4.3,0.0,NotYet
-1.6,4.4,0.0,NotYet
-1.6,4.5,0.0,NotYet
-1.6,4.6,0.0,NotYet
-1.6,4.7,0.0,NotYet
-1.5,4.3,0.0,NotYet
-1.5,4.4,0.0,NotYet
-1.5,4.5,0.0,NotYet
-1.5,4.6,0.0,NotYet
-1.5,4.7,0.0,NotYet
-1.4,4.3,0.0,NotYet
-1.4,4.4,0.0,NotYet
-1.4,4.5,0.0,NotYet
-1.4,4.6,0.0,NotYet
-1.4,4.7,0.0,NotYet
-1.3,4.3,0.0,NotYet
-1.3,4.4,0.0,NotYet
-1.3,4.5,0.0,NotYet
-1.3,4.6,0.0,NotYet
-1.3,4.7,0.0,NotYet
-1.2,4.3,0.0,NotYet
-1.2,4.4,0.0,NotYet
-1.2,4.5,0.0,NotYet
-1.2,4.6,0.0,NotYet
-1.2,4.7,0.0,NotYet
-1.1,4.3,0.0,NotYet
-1.1,4.4,0.0,NotYet
-1.1,4.5,0.0,NotYet
-1.1,4.6,0.0,NotYet
-1.1,4.7,0.0,NotYet
-1.0,4.3,0.0,NotYet
-1.0,4.4,0.0,NotYet
-1.0,4.5,0.0,NotYet
-1.0,4.6,0.0,NotYet
-1.0,4.7,0.0,NotYet
-0.9,4.3,0.0,NotYet
-0.9,4.4,0.0,NotYet
-0.9,4.5,0.0,NotYet
-0.9,4.6,0.0,NotYet
-0.9,4.7,0.0,NotYet
-0.8,4.3,0.0,NotYet
-0.8,4.4,0.0,NotYet
-0.8,4.5,0.0,NotYet
-0.8,4.6,0.0,NotYet
-0.8,4.7,0.0,NotYet
-0.7,4.3,0.0,NotYet
-0.7,4.4,0.0,NotYet
-0.7,4.5,0.0,NotYet
-0.7,4.6,0.0,NotYet
-0.7,4.7,0.0,NotYet
-0.6,4.3,0.0,NotYet
-0.6,4.4,0.0,NotYet
-0.6,4.5,0.0,NotYet
-0.6,4.6,0.0,NotYet
-0.6,4.7,0.0,NotYet
-0.5,4.3,0.0,NotYet
-0.5,4.4,0.0,NotYet
-0.5,4.5,0.0,NotYet
-0.5,4.6,0.0,NotYet
-0.5,4.7,0.0,NotYet
-0.4,4.3,0.0,NotYet
-0.4,4.4,0.0,NotYet
-0.4,4.5,0.0,NotYet
-0.4,4.6,0.0,NotYet
-0.4,4.7,0.0,NotYet
-0.3,4.3,0.0,NotYet
-0.3,4.4,0.0,NotYet
-0.3,4.5,0.0,NotYet
-0.3,4.6,0.0,NotYet
-0.3,4.7,0.0,NotYet
-0.2,4.3,0.0,NotYet
-0.2,4.4,0.0,NotYet
-0.2,4.5,0.0,NotYet
-0.2,4.6,0.0,NotYet
-0.2,4.7,0.0,NotYet
-0.1,4.3,0.0,NotYet
-0.1,4.4,0.0,NotYet
-0.1,4.5,0.0,NotYet
-0.1,4.6,0.0,NotYet
-0.1,4.7,0.0,NotYet
0.0,4.3,0.0,NotYet
0.0,4.4,0.0,NotYet
0.0,4.5,0.0,NotYet
0.0,4.6,0.0,NotYet
0.0,4.7,0.0,NotYet
0.1,4.3,0.0,NotYet
0.1,4.4,0.0,NotYet
0.1,4.5,0.0,NotYet
0.1,4.6,0.0,NotYet
0.1,4.7,0.0,NotYet
