x,y,z,status
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
2.8,4.4,0.0,NotYet
