a,b,theta,z,status
7.1,4.8,45,-2.0,NotYet
7.1,4.8,45,-1.9,NotYet
7.1,4.8,45,-1.8,NotYet
7.1,4.8,45,-1.7,NotYet
7.1,4.8,45,-1.6,NotYet
7.1,4.8,45,-1.5,NotYet
7.1,4.8,45,-1.4,NotYet
7.1,4.8,45,-1.3,NotYet
7.1,4.8,45,-1.2,NotYet
7.1,4.8,45,-1.1,NotYet
7.1,4.8,45,-1.0,NotYet
7.1,4.8,45,-0.9,NotYet
7.1,4.8,45,-0.8,NotYet
7.1,4.8,45,-0.7,NotYet
7.1,4.8,45,-0.6,NotYet
7.1,4.8,45,-0.5,NotYet
7.1,4.8,45,-0.4,NotYet
7.1,4.8,45,-0.3,NotYet
7.1,4.8,45,-0.2,NotYet
7.1,4.8,45,-0.1,NotYet
7.1,4.8,45,0.0,NotYet
7.1,4.8,45,0.1,NotYet
7.1,4.8,45,0.2,NotYet
7.1,4.8,45,0.3,NotYet
7.1,4.8,45,0.4,NotYet
7.1,4.8,45,0.5,NotYet
7.1,4.8,45,0.6,NotYet
7.1,4.8,45,0.7,NotYet
7.1,4.8,45,0.8,NotYet
7.1,4.8,45,0.9,NotYet
7.1,4.8,45,1.0,NotYet
7.1,4.8,45,1.1,NotYet
7.1,4.8,45,1.2,NotYet
7.1,4.8,45,1.3,NotYet
7.1,4.8,45,1.4,NotYet
7.1,4.8,45,1.5,NotYet
7.1,4.8,45,1.6,NotYet
7.1,4.8,45,1.7,NotYet
7.1,4.8,45,1.8,NotYet
7.1,4.8,45,1.9,NotYet
7.1,4.8,45,2.0,NotYet
