a,b,theta,status
4.1,8.6,0,NotYet
4.1,8.6,5,NotYet
4.1,8.6,10,NotYet
4.1,8.5,15,NotYet
4.1,8.4,20,NotYet
4.2,8.2,25,NotYet
4.4,7.9,30,NotYet
4.6,7.5,35,NotYet
4.7,7.2,40,NotYet
4.8,7.1,45,NotYet
4.8,7.2,50,NotYet
4.8,7.4,55,NotYet
4.8,7.5,60,NotYet
4.7,7.7,65,NotYet
4.6,7.8,70,NotYet
4.6,7.9,75,NotYet
4.5,8.0,80,NotYet
4.5,8.0,85,NotYet
4.5,8.0,90,NotYet
7.6,4.5,0,NotYet
7.6,4.5,5,NotYet
7.5,4.5,10,NotYet
7.5,4.6,15,NotYet
7.4,4.6,20,NotYet
7.3,4.7,25,NotYet
7.2,4.8,30,NotYet
7.1,4.9,35,NotYet
7.2,4.9,40,NotYet
7.3,4.9,45,NotYet
7.8,4.7,50,NotYet
8.2,4.5,55,NotYet
8.6,4.4,60,NotYet
8.9,4.2,65,NotYet
9.1,4.1,70,NotYet
9.2,4.1,75,NotYet
9.2,4.1,80,NotYet
9.3,4.1,85,NotYet
9.3,4.1,90,NotYet
