theta,a1,z1,E1,machine_type,status,file_name
0,3.8,1.3,-3.603089001378976,2,Done,C5_theta=0_a1=3.8_z1=1.3_1.log
0,3.9,1.3,-3.667474664893234,2,Done,C5_theta=0_a1=3.9_z1=1.3_1.log
0,4.0,1.3,-3.6061324248439632,2,Done,C5_theta=0_a1=4.0_z1=1.3_1.log
5,3.8,1.3,-3.6028963557619136,1,Done,C5_theta=5_a1=3.8_z1=1.3_1.log
5,3.9,1.3,-3.674072932510171,1,Done,C5_theta=5_a1=3.9_z1=1.3_1.log
5,4.0,1.3,-3.6171947985858415,1,Done,C5_theta=5_a1=4.0_z1=1.3_1.log
10,3.8,1.3,-3.535164181375876,2,Done,C5_theta=10_a1=3.8_z1=1.3_1.log
10,3.9,1.3,-3.642635936514125,2,Done,C5_theta=10_a1=3.9_z1=1.3_1.log
10,4.0,1.3,-3.611946932505816,2,Done,C5_theta=10_a1=4.0_z1=1.3_1.log
20,4.0,0.0,-3.403213261073688,1,Done,C5_theta=20_a1=4.0_z1=0.0_1.log
20,4.1,0.0,-3.478198196098674,1,Done,C5_theta=20_a1=4.1_z1=0.0_1.log
20,4.2,0.0,-3.4247663470887346,1,Done,C5_theta=20_a1=4.2_z1=0.0_1.log
25,4.1,0.0,-3.2494965289661195,2,Done,C5_theta=25_a1=4.1_z1=0.0_1.log
30,4.4,0.0,-2.864076749436208,1,Done,C5_theta=30_a1=4.4_z1=0.0_1.log
25,4.0,0.0,-3.0803970167035004,2,Done,C5_theta=25_a1=4.0_z1=0.0_1.log
25,4.2,0.0,-3.2712824211484985,2,Done,C5_theta=25_a1=4.2_z1=0.0_1.log
30,4.3,0.0,-2.902819216818898,1,Done,C5_theta=30_a1=4.3_z1=0.0_1.log
30,4.5,0.0,-2.7619187489472097,1,Done,C5_theta=30_a1=4.5_z1=0.0_1.log
25,4.3,0.0,-3.195331120805349,1,Done,C5_theta=25_a1=4.3_z1=0.0_1.log
30,4.2,0.0,-2.8449954253446776,1,Done,C5_theta=30_a1=4.2_z1=0.0_1.log
