theta,a1,z1,a2,b2,z2,E3,E4,machine_type,status,file_name
0,3.9,1.3,1.6,4.4,0.0,-0.2346554819523589,-2.031274970417144,2,Done,C5_theta=0_a1=3.9_z1=1.3_a2=1.6_b2=4.4_z2=0.0_3.log
5,3.9,1.3,-1.1,4.4,0.0,-1.5642123747966252,-0.3987731923698447,1,Done,C5_theta=5_a1=3.9_z1=1.3_a2=-1.1_b2=4.4_z2=0.0_3.log
10,3.9,1.3,-1.3,4.4,0.0,-1.614952833391726,-0.3450727690797066,1,Done,C5_theta=10_a1=3.9_z1=1.3_a2=-1.3_b2=4.4_z2=0.0_3.log
20,4.1,0.0,-1.7,4.2,0.0,-2.123298684382462,-0.2404229263629531,2,Done,C5_theta=20_a1=4.1_z1=0.0_a2=-1.7_b2=4.2_z2=0.0_3.log
0,3.8,1.3,1.5,4.3,0.0,-0.2985171746549895,-2.082932848628843,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.5_b2=4.3_z2=0.0_3.log
0,3.8,1.3,1.5,4.4,0.0,-0.2803457400732441,-2.031274970417144,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.5_b2=4.4_z2=0.0_3.log
0,3.8,1.3,1.5,4.5,0.0,-0.2630195615056436,-1.9511193530343007,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.5_b2=4.5_z2=0.0_3.log
0,3.8,1.3,1.6,4.3,0.0,-0.2725257104757475,-2.1156725553883007,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.6_b2=4.3_z2=0.0_3.log
0,3.8,1.3,1.6,4.4,0.0,-0.2563252848340198,-2.0776542344974587,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.6_b2=4.4_z2=0.0_3.log
0,3.8,1.3,1.6,4.5,0.0,-0.2409481522336136,-2.0049572010175325,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.6_b2=4.5_z2=0.0_3.log
0,3.8,1.3,1.7,4.3,0.0,-0.2490198133600643,-2.1423285526398104,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.7_b2=4.3_z2=0.0_3.log
0,3.8,1.3,1.7,4.4,0.0,-0.2346554819523589,-2.11956437236222,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.7_b2=4.4_z2=0.0_3.log
0,3.8,1.3,1.7,4.5,0.0,-0.2209575661836424,-2.0555683925485937,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.7_b2=4.5_z2=0.0_3.log
0,3.9,1.3,1.5,4.3,0.0,-0.2725257104757475,-2.043929337072768,1,Done,C5_theta=0_a1=3.9_z1=1.3_a2=1.5_b2=4.3_z2=0.0_3.log
0,3.9,1.3,1.5,4.4,0.0,-0.2563252848340198,-1.9804930961399805,2,Done,C5_theta=0_a1=3.9_z1=1.3_a2=1.5_b2=4.4_z2=0.0_3.log
0,3.9,1.3,1.5,4.5,0.0,-0.2409481522336136,-1.8942079611006195,2,Done,C5_theta=0_a1=3.9_z1=1.3_a2=1.5_b2=4.5_z2=0.0_3.log
0,3.9,1.3,1.6,4.3,0.0,-0.2490198133600643,-2.082932848628843,2,Done,C5_theta=0_a1=3.9_z1=1.3_a2=1.6_b2=4.3_z2=0.0_3.log
0,3.9,1.3,1.6,4.5,0.0,-0.2209575661836424,-1.9511193530343007,2,Done,C5_theta=0_a1=3.9_z1=1.3_a2=1.6_b2=4.5_z2=0.0_3.log
0,3.9,1.3,1.7,4.3,0.0,-0.2278400958748534,-2.1156725553883007,1,Done,C5_theta=0_a1=3.9_z1=1.3_a2=1.7_b2=4.3_z2=0.0_3.log
0,3.9,1.3,1.7,4.4,0.0,-0.2150621097680414,-2.0776542344974587,1,Done,C5_theta=0_a1=3.9_z1=1.3_a2=1.7_b2=4.4_z2=0.0_3.log
0,3.9,1.3,1.7,4.5,0.0,-0.2028821406274801,-2.0049572010175325,2,Done,C5_theta=0_a1=3.9_z1=1.3_a2=1.7_b2=4.5_z2=0.0_3.log
0,4.0,1.3,1.5,4.3,0.0,-0.2490198133600643,-1.9987084564199904,1,Done,C5_theta=0_a1=4.0_z1=1.3_a2=1.5_b2=4.3_z2=0.0_3.log
0,4.0,1.3,1.5,4.4,0.0,-0.2346554819523589,-1.925528240215499,2,Done,C5_theta=0_a1=4.0_z1=1.3_a2=1.5_b2=4.4_z2=0.0_3.log
0,4.0,1.3,1.5,4.5,0.0,-0.2209575661836424,-1.8344338685419643,2,Done,C5_theta=0_a1=4.0_z1=1.3_a2=1.5_b2=4.5_z2=0.0_3.log
0,4.0,1.3,1.6,4.3,0.0,-0.2278400958748534,-2.043929337072768,1,Done,C5_theta=0_a1=4.0_z1=1.3_a2=1.6_b2=4.3_z2=0.0_3.log
0,4.0,1.3,1.6,4.4,0.0,-0.2150621097680414,-1.9804930961399805,1,Done,C5_theta=0_a1=4.0_z1=1.3_a2=1.6_b2=4.4_z2=0.0_3.log
0,4.0,1.3,1.6,4.5,0.0,-0.2028821406274801,-1.8942079611006195,2,Done,C5_theta=0_a1=4.0_z1=1.3_a2=1.6_b2=4.5_z2=0.0_3.log
0,4.0,1.3,1.7,4.3,0.0,-0.2087512416474055,-2.082932848628843,2,Done,C5_theta=0_a1=4.0_z1=1.3_a2=1.7_b2=4.3_z2=0.0_3.log
0,4.0,1.3,1.7,4.4,0.0,-0.1973631901491899,-2.031274970417144,2,Done,C5_theta=0_a1=4.0_z1=1.3_a2=1.7_b2=4.4_z2=0.0_3.log
0,4.0,1.3,1.7,4.5,0.0,-0.1864363585336832,-1.9511193530343007,1,Done,C5_theta=0_a1=4.0_z1=1.3_a2=1.7_b2=4.5_z2=0.0_3.log
5,3.8,1.3,-1.2,4.3,0.0,-1.6318573252647184,-0.4272822266502771,2,Done,C5_theta=5_a1=3.8_z1=1.3_a2=-1.2_b2=4.3_z2=0.0_3.log
5,3.8,1.3,-1.2,4.4,0.0,-1.6279466829728335,-0.3987731923698447,1,Done,C5_theta=5_a1=3.8_z1=1.3_a2=-1.2_b2=4.4_z2=0.0_3.log
5,3.8,1.3,-1.2,4.5,0.0,-1.5881236433197046,-0.371915136827738,1,Done,C5_theta=5_a1=3.8_z1=1.3_a2=-1.2_b2=4.5_z2=0.0_3.log
5,3.8,1.3,-1.1,4.3,0.0,-1.6285051668673989,-0.4675915865518618,2,Done,C5_theta=5_a1=3.8_z1=1.3_a2=-1.1_b2=4.3_z2=0.0_3.log
5,3.8,1.3,-1.1,4.4,0.0,-1.600988853344461,-0.4358778586611151,2,Done,C5_theta=5_a1=3.8_z1=1.3_a2=-1.1_b2=4.4_z2=0.0_3.log
5,3.8,1.3,-1.1,4.5,0.0,-1.5468937263067346,-0.4057529860583599,2,Done,C5_theta=5_a1=3.8_z1=1.3_a2=-1.1_b2=4.5_z2=0.0_3.log
5,3.8,1.3,-1.0,4.3,0.0,-1.6099559712747578,-0.5106965034501627,1,Done,C5_theta=5_a1=3.8_z1=1.3_a2=-1.0_b2=4.3_z2=0.0_3.log
5,3.8,1.3,-1.0,4.4,0.0,-1.5642123747966252,-0.4760014755593147,1,Done,C5_theta=5_a1=3.8_z1=1.3_a2=-1.0_b2=4.4_z2=0.0_3.log
5,3.8,1.3,-1.0,4.5,0.0,-1.49948158072948,-0.4426988923514727,1,Done,C5_theta=5_a1=3.8_z1=1.3_a2=-1.0_b2=4.5_z2=0.0_3.log
5,3.9,1.3,-1.2,4.3,0.0,-1.6285051668673989,-0.3902867471333593,2,Done,C5_theta=5_a1=3.9_z1=1.3_a2=-1.2_b2=4.3_z2=0.0_3.log
5,3.9,1.3,-1.2,4.4,0.0,-1.600988853344461,-0.3648857698135543,2,Done,C5_theta=5_a1=3.9_z1=1.3_a2=-1.2_b2=4.4_z2=0.0_3.log
5,3.9,1.3,-1.2,4.5,0.0,-1.5468937263067346,-0.3407103195786476,2,Done,C5_theta=5_a1=3.9_z1=1.3_a2=-1.2_b2=4.5_z2=0.0_3.log
5,3.9,1.3,-1.1,4.3,0.0,-1.6099559712747578,-0.4272822266502771,1,Done,C5_theta=5_a1=3.9_z1=1.3_a2=-1.1_b2=4.3_z2=0.0_3.log
5,3.9,1.3,-1.1,4.5,0.0,-1.49948158072948,-0.371915136827738,1,Done,C5_theta=5_a1=3.9_z1=1.3_a2=-1.1_b2=4.5_z2=0.0_3.log
5,3.9,1.3,-1.0,4.3,0.0,-1.5781543919583785,-0.4675915865518618,2,Done,C5_theta=5_a1=3.9_z1=1.3_a2=-1.0_b2=4.3_z2=0.0_3.log
5,3.9,1.3,-1.0,4.4,0.0,-1.518981453991728,-0.4358778586611151,2,Done,C5_theta=5_a1=3.9_z1=1.3_a2=-1.0_b2=4.4_z2=0.0_3.log
5,3.9,1.3,-1.0,4.5,0.0,-1.4468705148319714,-0.4057529860583599,2,Done,C5_theta=5_a1=3.9_z1=1.3_a2=-1.0_b2=4.5_z2=0.0_3.log
5,4.0,1.3,-1.2,4.3,0.0,-1.6099559712747578,-0.356536121777026,1,Done,C5_theta=5_a1=4.0_z1=1.3_a2=-1.2_b2=4.3_z2=0.0_3.log
5,4.0,1.3,-1.2,4.4,0.0,-1.5642123747966252,-0.3337311533250613,2,Done,C5_theta=5_a1=4.0_z1=1.3_a2=-1.2_b2=4.4_z2=0.0_3.log
5,4.0,1.3,-1.2,4.5,0.0,-1.49948158072948,-0.3121554770186776,1,Done,C5_theta=5_a1=4.0_z1=1.3_a2=-1.2_b2=4.5_z2=0.0_3.log
5,4.0,1.3,-1.1,4.3,0.0,-1.5781543919583785,-0.3902867471333593,1,Done,C5_theta=5_a1=4.0_z1=1.3_a2=-1.1_b2=4.3_z2=0.0_3.log
5,4.0,1.3,-1.1,4.4,0.0,-1.518981453991728,-0.3648857698135543,2,Done,C5_theta=5_a1=4.0_z1=1.3_a2=-1.1_b2=4.4_z2=0.0_3.log
