theta,a1,z1,a2,b2,z2,status
0,3.8,1.3,1.6,4.4,0.0,InProgress
5,3.8,1.3,-1.1,4.4,0.0,InProgress
10,3.8,1.3,-1.2,4.4,0.0,InProgress
15,4.1,0.1,-1.7,4.2,0.0,Done
20,4.0,0.0,-1.7,4.2,0.0,InProgress
25,4.1,0.0,-1.9,4.1,0.0,Done
30,4.4,0.0,-2.3,3.9,0.0,Done
35,4.6,0.0,2.0,3.7,0.0,Done
40,4.7,0.0,2.0,3.6,0.0,Done
45,5.2,1.2,2.1,3.3,-1.3,Done
50,5.2,1.3,2.0,3.3,-1.3,Done
55,5.2,1.3,2.0,3.3,1.3,Done
60,5.1,1.3,1.9,3.4,-1.3,Done
65,5.0,1.3,1.7,3.5,-1.3,Done
70,4.5,0.0,1.3,3.6,-1.3,Done
75,4.3,0.0,1.1,3.7,-1.3,Done
80,4.2,0.0,1.0,3.7,1.3,Done
85,4.2,0.0,1.0,3.7,1.3,Done
90,4.3,0.1,0.8,3.8,-1.3,Done
