theta,a1,z1,a2,b2,z2,status
0,4.2,0.0,-0.9,4.4,1.3,InProgress
5,4.2,0.0,-1.3,4.3,1.3,InProgress
10,4.1,0.0,-1.3,4.4,1.3,InProgress
15,4.1,0.0,-1.3,4.4,1.3,InProgress
20,4.0,0.0,-1.4,4.4,1.3,InProgress
25,4.1,0.0,-1.6,4.3,1.3,InProgress
30,4.4,0.0,-1.9,4.1,1.3,InProgress
35,4.6,0.0,-2.3,4.0,1.3,InProgress
40,4.7,0.0,2.2,3.8,1.3,InProgress
45,4.8,0.0,2.0,3.6,1.3,InProgress
50,4.8,0.0,1.8,3.4,1.3,InProgress
55,4.8,0.0,1.7,3.4,1.3,InProgress
60,4.7,0.0,1.4,3.5,1.3,InProgress
65,4.6,0.0,1.2,3.6,1.3,InProgress
70,4.5,0.0,1.0,3.7,1.3,InProgress
75,4.3,0.0,0.7,3.7,1.3,InProgress
80,4.2,0.0,0.0,3.8,1.3,InProgress
85,4.2,0.0,-0.4,3.7,1.3,InProgress
90,4.2,0.0,-0.6,3.7,1.3,InProgress
