theta,a1,z1,a2,b2,z2,E,E1,E2,E3,E4,status
0,3.8,1.3,-0.9,4.4,1.3,-6.038276470964775,-3.5544425435946323,-1.0627804289833875,-1.045806283451384,-0.3752472149353707,Done
5,3.8,1.3,-1.3,4.3,1.3,-6.200126987750991,-3.557567543408368,-1.059186051672441,-1.2788672625465551,-0.3045061301236273,Done
10,3.8,1.3,-1.5,4.3,1.3,-6.435519166450831,-3.497198571320041,-1.356113116038614,-1.31307408765133,-0.269133391440846,Done
15,4.0,1.3,-1.7,4.2,1.3,-6.222413632931421,-3.3401522711646976,-1.3101680888503324,-1.3537963491107805,-0.2182969238056102,Done
20,4.3,1.3,-2.0,4.1,1.3,-5.783272722226684,-2.747516139424988,-1.411198453832185,-1.47042410269205,-0.1541340262774611,Done
25,4.6,1.3,-2.3,3.9,1.3,-5.280716278517502,-2.117143438808853,-1.3112467785249464,-1.739148985085194,-0.1131770760985091,Done
30,4.8,1.3,-2.4,3.9,1.3,-5.130696207794244,-1.741003904651734,-1.4688088919501752,-1.8261770919634728,-0.0947063192288624,Done
35,5.0,1.3,2.5,3.5,1.3,-6.0991863566450775,-1.4484217195567908,-2.7629673181654653,-0.0655020038248039,-1.8222953150980168,Done
40,5.1,1.3,2.4,3.2,1.3,-6.055944014995475,-1.3145048104197483,-3.4084604997187853,-0.0723531580297276,-1.2606255468272138,Done
45,5.2,1.3,2.3,3.0,1.3,-5.976982549225795,-1.218082878884161,-3.5189348902495112,-0.0775276054919231,-1.1624371746001998,Done
50,5.2,1.3,2.3,3.0,1.3,-5.971660636889283,-1.2216716085531516,-3.536412298795767,-0.0783094829239416,-1.1352672466164222,Done
55,5.2,1.3,2.3,3.0,1.3,-5.876233308736119,-1.2479573749587871,-3.536380923294928,-0.0793003212456824,-1.012594689236721,Done
60,5.1,1.3,2.1,3.2,1.3,-6.795887491753092,-1.348916831339011,-3.573456724145217,-0.0923086035036249,-1.7812053327652393,Done
65,5.0,1.3,1.9,3.3,1.3,-6.992221565567888,-1.4549289982533082,-3.5641683210851625,-0.1103444959589978,-1.86277975027042,Done
70,4.9,1.3,1.7,3.4,1.3,-7.064122288880753,-1.5510597652028082,-3.553419074771228,-0.1323098560096696,-1.827333592897048,Done
75,4.7,1.3,1.4,3.5,1.3,-6.97483891104639,-1.5407529134245124,-3.5101196297764545,-0.1826995365263428,-1.7412668313190809,Done
80,4.5,1.3,1.2,3.6,1.3,-6.569771165901329,-1.1459631545876618,-3.525883308480843,-0.2377359285310376,-1.660188774301787,Done
85,4.6,1.3,1.0,3.6,1.3,-6.5900755069742445,-1.505077087393147,-3.338154906858108,-0.2624246820196276,-1.484418830703362,Done
90,4.6,1.3,-0.7,3.7,1.3,-6.222272443133988,-1.5131330607837299,-3.4072349727066467,-0.9119784807990072,-0.38992592884460464,Done
