theta,a1,z1,a2,b2,z2,E3,E4,machine_type,status,file_name
0,3.8,1.3,-0.9,4.4,1.3,-1.045806283451384,-0.3752472149353707,3,Done,C5_theta=0_a1=3.8_z1=1.3_a2=-0.9_b2=4.4_z2=1.3_3.log
5,3.8,1.3,-1.3,4.3,1.3,-1.2788672625465551,-0.3045061301236273,3,Done,C5_theta=5_a1=3.8_z1=1.3_a2=-1.3_b2=4.3_z2=1.3_3.log
10,3.8,1.3,-1.5,4.3,1.3,-1.31307408765133,-0.269133391440846,3,Done,C5_theta=10_a1=3.8_z1=1.3_a2=-1.5_b2=4.3_z2=1.3_3.log
15,4.0,1.3,-1.7,4.2,1.3,-1.3537963491107805,-0.2182969238056102,3,Done,C5_theta=15_a1=4.0_z1=1.3_a2=-1.7_b2=4.2_z2=1.3_3.log
20,4.3,1.3,-2.0,4.1,1.3,-1.47042410269205,-0.1541340262774611,3,Done,C5_theta=20_a1=4.3_z1=1.3_a2=-2.0_b2=4.1_z2=1.3_3.log
25,4.6,1.3,-2.3,3.9,1.3,-1.739148985085194,-0.1131770760985091,3,Done,C5_theta=25_a1=4.6_z1=1.3_a2=-2.3_b2=3.9_z2=1.3_3.log
30,4.8,1.3,-2.4,3.9,1.3,-1.8261770919634728,-0.0947063192288624,3,Done,C5_theta=30_a1=4.8_z1=1.3_a2=-2.4_b2=3.9_z2=1.3_3.log
35,5.0,1.3,2.5,3.5,1.3,-0.0655020038248039,-1.8222953150980168,3,Done,C5_theta=35_a1=5.0_z1=1.3_a2=2.5_b2=3.5_z2=1.3_3.log
40,5.1,1.3,2.4,3.2,1.3,-0.0723531580297276,-1.2606255468272138,3,Done,C5_theta=40_a1=5.1_z1=1.3_a2=2.4_b2=3.2_z2=1.3_3.log
45,5.2,1.3,2.3,3.0,1.3,-0.0775276054919231,-1.1624371746001998,3,Done,C5_theta=45_a1=5.2_z1=1.3_a2=2.3_b2=3.0_z2=1.3_3.log
50,5.2,1.3,2.3,3.0,1.3,-0.0783094829239416,-1.1352672466164222,3,Done,C5_theta=50_a1=5.2_z1=1.3_a2=2.3_b2=3.0_z2=1.3_3.log
55,5.2,1.3,2.3,3.0,1.3,-0.0793003212456824,-1.012594689236721,3,Done,C5_theta=55_a1=5.2_z1=1.3_a2=2.3_b2=3.0_z2=1.3_3.log
60,5.1,1.3,2.1,3.2,1.3,-0.0923086035036249,-1.7812053327652393,3,Done,C5_theta=60_a1=5.1_z1=1.3_a2=2.1_b2=3.2_z2=1.3_3.log
65,5.0,1.3,1.9,3.3,1.3,-0.1103444959589978,-1.86277975027042,3,Done,C5_theta=65_a1=5.0_z1=1.3_a2=1.9_b2=3.3_z2=1.3_3.log
70,4.9,1.3,1.7,3.4,1.3,-0.1323098560096696,-1.827333592897048,3,Done,C5_theta=70_a1=4.9_z1=1.3_a2=1.7_b2=3.4_z2=1.3_3.log
75,4.7,1.3,1.4,3.5,1.3,-0.1826995365263428,-1.7412668313190809,3,Done,C5_theta=75_a1=4.7_z1=1.3_a2=1.4_b2=3.5_z2=1.3_3.log
80,4.5,1.3,1.2,3.6,1.3,-0.2377359285310376,-1.660188774301787,3,Done,C5_theta=80_a1=4.5_z1=1.3_a2=1.2_b2=3.6_z2=1.3_3.log
85,4.6,1.3,1.0,3.6,1.3,-0.2624246820196276,-1.484418830703362,3,Done,C5_theta=85_a1=4.6_z1=1.3_a2=1.0_b2=3.6_z2=1.3_3.log
90,4.6,1.3,-0.7,3.7,1.3,-0.9119784807990072,-0.38992592884460464,3,Done,C5_theta=90_a1=4.6_z1=1.3_a2=-0.7_b2=3.7_z2=1.3_3.log
