theta,a2,b2,z2,E2,machine_type,status,file_name
0,1.1,4.1,0.0,-1.275203231634805,2,Done,C5_theta=0_a2=1.1_b2=4.1_z2=0.0_2.log
5,-1.5,4.0,0.0,-1.3910472252464388,1,Done,C5_theta=5_a2=-1.5_b2=4.0_z2=0.0_2.log
10,-1.3,3.9,0.0,-0.5827428090851754,2,Done,C5_theta=10_a2=-1.3_b2=3.9_z2=0.0_2.log
15,-1.4,3.9,0.0,-0.928875442550634,2,Done,C5_theta=15_a2=-1.4_b2=3.9_z2=0.0_2.log
20,-1.5,3.9,0.0,-1.2039413135207724,2,Done,C5_theta=20_a2=-1.5_b2=3.9_z2=0.0_2.log
25,-1.7,3.8,0.0,-1.0933031428721731,1,Done,C5_theta=25_a2=-1.7_b2=3.8_z2=0.0_2.log
0,1.0,4.0,0.0,-0.4115499234758317,1,Done,C5_theta=0_a2=1.0_b2=4.0_z2=0.0_2.log
0,1.0,4.1,0.0,-1.2035522573132766,1,Done,C5_theta=0_a2=1.0_b2=4.1_z2=0.0_2.log
0,1.0,4.2,0.0,-1.7029717785771936,2,Done,C5_theta=0_a2=1.0_b2=4.2_z2=0.0_2.log
0,1.1,4.0,0.0,-0.5360020992229693,2,Done,C5_theta=0_a2=1.1_b2=4.0_z2=0.0_2.log
0,1.1,4.2,0.0,-1.7378224289423088,2,Done,C5_theta=0_a2=1.1_b2=4.2_z2=0.0_2.log
0,1.2,4.0,0.0,-0.6541396418615477,1,Done,C5_theta=0_a2=1.2_b2=4.0_z2=0.0_2.log
0,1.2,4.1,0.0,-1.3416985838266555,1,Done,C5_theta=0_a2=1.2_b2=4.1_z2=0.0_2.log
0,1.2,4.2,0.0,-1.76810668905091,2,Done,C5_theta=0_a2=1.2_b2=4.2_z2=0.0_2.log
5,-1.6,3.9,0.0,-0.905958149858634,1,Done,C5_theta=5_a2=-1.6_b2=3.9_z2=0.0_2.log
5,-1.6,4.0,0.0,-1.4901392118481454,2,Done,C5_theta=5_a2=-1.6_b2=4.0_z2=0.0_2.log
5,-1.6,4.1,0.0,-1.8465134360594675,2,Done,C5_theta=5_a2=-1.6_b2=4.1_z2=0.0_2.log
5,-1.5,3.9,0.0,-0.7353563786455197,1,Done,C5_theta=5_a2=-1.5_b2=3.9_z2=0.0_2.log
5,-1.5,4.1,0.0,-1.798498880860279,2,Done,C5_theta=5_a2=-1.5_b2=4.1_z2=0.0_2.log
5,-1.4,3.9,0.0,-0.5466735342924949,1,Done,C5_theta=5_a2=-1.4_b2=3.9_z2=0.0_2.log
5,-1.4,4.0,0.0,-1.2780985627759949,2,Done,C5_theta=5_a2=-1.4_b2=4.0_z2=0.0_2.log
5,-1.4,4.1,0.0,-1.7397137440711958,2,Done,C5_theta=5_a2=-1.4_b2=4.1_z2=0.0_2.log
10,-1.4,3.8,0.0,0.1462932888243813,1,Done,C5_theta=10_a2=-1.4_b2=3.8_z2=0.0_2.log
