theta,a1,z1,a2,b2,z2,status
0,4.2,0.0,1.1,4.1,0.0,NotYet
5,4.2,0.0,-1.5,4.0,0.0,NotYet
10,4.1,0.0,-1.3,3.9,0.0,NotYet
15,4.1,0.0,-1.4,3.9,0.0,NotYet
20,4.0,0.0,-1.5,3.9,0.0,NotYet
25,4.1,0.0,-1.7,3.8,0.0,NotYet
30,4.4,0.0,-2.1,3.6,0.0,NotYet
35,4.6,0.0,2.2,3.4,0.0,NotYet
40,4.7,0.0,2.2,3.4,0.0,NotYet
45,4.8,0.0,-2.4,3.4,0.0,NotYet
50,4.8,0.0,2.3,3.5,0.0,NotYet
55,4.8,0.0,2.2,3.6,0.0,NotYet
60,4.7,0.0,1.9,3.7,0.0,NotYet
65,4.6,0.0,1.8,3.8,0.0,NotYet
70,4.5,0.0,1.6,3.9,0.0,NotYet
75,4.3,0.0,1.4,3.9,0.0,NotYet
80,4.2,0.0,-0.8,3.9,0.0,NotYet
85,4.2,0.0,-1.2,3.8,0.0,NotYet
90,4.2,0.0,-1.5,3.7,0.0,NotYet
0,3.8,1.3,0.6,4.1,0.0,NotYet
5,3.8,1.3,-0.6,4.2,0.0,NotYet
10,3.8,1.3,-0.7,4.1,0.0,NotYet
15,4.0,1.3,-1.0,4.1,0.0,NotYet
20,4.3,1.3,-1.3,4.0,0.0,NotYet
25,4.6,1.3,-1.7,3.8,0.0,NotYet
30,4.8,1.3,-2.1,3.6,0.0,NotYet
35,5.0,1.3,-2.4,3.4,0.0,NotYet
40,5.1,1.3,-2.6,3.3,0.0,NotYet
45,5.2,1.3,-2.6,3.3,0.0,NotYet
50,5.2,1.3,-2.6,3.3,0.0,NotYet
55,5.2,1.3,-2.6,3.6,0.0,NotYet
60,5.1,1.3,1.9,3.7,0.0,NotYet
65,5.0,1.3,1.7,3.8,0.0,NotYet
70,4.9,1.3,1.5,3.9,0.0,NotYet
75,4.7,1.3,-0.5,3.9,0.0,NotYet
80,4.5,1.3,-0.8,3.9,0.0,NotYet
85,4.6,1.3,-1.2,3.8,0.0,NotYet
90,4.6,1.3,-1.2,3.9,0.0,NotYet
0,4.2,0.0,-0.9,4.4,1.3,NotYet
5,4.2,0.0,-1.3,4.3,1.3,NotYet
10,4.1,0.0,-1.3,4.4,1.3,NotYet
15,4.1,0.0,-1.3,4.4,1.3,NotYet
20,4.0,0.0,-1.4,4.4,1.3,NotYet
25,4.1,0.0,-1.6,4.3,1.3,NotYet
30,4.4,0.0,-1.9,4.1,1.3,NotYet
35,4.6,0.0,-2.3,4.0,1.3,NotYet
40,4.7,0.0,2.2,3.8,1.3,NotYet
45,4.8,0.0,2.0,3.6,1.3,NotYet
50,4.8,0.0,1.8,3.4,1.3,NotYet
55,4.8,0.0,1.7,3.4,1.3,NotYet
60,4.7,0.0,1.4,3.5,1.3,NotYet
65,4.6,0.0,1.2,3.6,1.3,NotYet
70,4.5,0.0,1.0,3.7,1.3,NotYet
75,4.3,0.0,0.7,3.7,1.3,NotYet
80,4.2,0.0,0.0,3.8,1.3,NotYet
85,4.2,0.0,-0.4,3.7,1.3,NotYet
90,4.2,0.0,-0.6,3.7,1.3,NotYet
0,3.8,1.3,-0.9,4.4,1.3,NotYet
5,3.8,1.3,-1.3,4.3,1.3,NotYet
10,3.8,1.3,-1.5,4.3,1.3,NotYet
15,4.0,1.3,-1.7,4.2,1.3,NotYet
20,4.3,1.3,-2.0,4.1,1.3,NotYet
25,4.6,1.3,-2.3,3.9,1.3,NotYet
30,4.8,1.3,-2.4,3.9,1.3,NotYet
35,5.0,1.3,2.5,3.5,1.3,NotYet
40,5.1,1.3,2.4,3.2,1.3,NotYet
45,5.2,1.3,2.3,3.0,1.3,NotYet
50,5.2,1.3,2.3,3.0,1.3,NotYet
55,5.2,1.3,2.3,3.0,1.3,NotYet
60,5.1,1.3,2.1,3.2,1.3,NotYet
65,5.0,1.3,1.9,3.3,1.3,NotYet
70,4.9,1.3,1.7,3.4,1.3,NotYet
75,4.7,1.3,1.4,3.5,1.3,NotYet
80,4.5,1.3,1.2,3.6,1.3,NotYet
85,4.6,1.3,1.0,3.6,1.3,NotYet
90,4.6,1.3,-0.7,3.7,1.3,NotYet
