theta,a1,z1,a2,b2,z2,E,E1,E2,E3,E4,status
0,3.8,1.3,0.6,4.1,0.0,-6.363189853786025,-3.5544425435946323,-0.873903056504787,-0.5594063397002174,-1.3754379139863886,Done
0,3.8,1.3,0.5,4.0,0.0,-5.309578600965324,-3.5544425435946323,0.2792488526029046,-0.6495161482162075,-1.3848687617573887,Done
0,3.8,1.3,0.5,4.1,0.0,-6.2535174210352125,-3.5544425435946323,-0.7905239202809753,-0.6070249360491289,-1.301526021110476,Done
0,3.8,1.3,0.5,4.2,0.0,-6.817176395969,-3.5544425435946323,-1.4787329625687562,-0.5664350791921606,-1.2175658106134506,Done
0,3.8,1.3,0.6,4.0,0.0,-5.468436522452976,-3.5544425435946323,0.1417250160593539,-0.5982805841922527,-1.4574384107254446,Done
0,3.8,1.3,0.6,4.2,0.0,-6.893125186368707,-3.5544425435946323,-1.5256914184283232,-0.5228193691582419,-1.2901718551875092,Done
0,3.8,1.3,0.7,4.0,0.0,-5.630179735031561,-3.5544425435946323,-0.0006431977380998,-0.5504392217844725,-1.5246547719143564,Done
0,3.8,1.3,0.7,4.1,0.0,-6.47689654835267,-3.5544425435946323,-0.9598085480101872,-0.515638144715922,-1.4470073120319284,Done
0,3.8,1.3,0.7,4.2,0.0,-6.973066822756664,-3.5544425435946323,-1.573535918345442,-0.4827729359676596,-1.36231542484893,Done
0,3.8,1.3,0.6,4.3,0.0,-7.157712895292207,-3.5544425435946323,-1.910530123685021,-0.48852720267314,-1.2042130253394134,Done
0,3.8,1.3,0.7,4.3,0.0,-7.213614623658941,-3.5544425435946323,-1.933062125288416,-0.4514514018374029,-1.2746585529384902,Done
0,3.8,1.3,0.8,4.1,0.0,-6.589160597417504,-3.5544425435946323,-1.0448418006126303,-0.4753771031246288,-1.5144991500856122,Done
0,3.8,1.3,0.8,4.2,0.0,-7.052876054644003,-3.5544425435946323,-1.6200651573744835,-0.4453457295458065,-1.4330226241290802,Done
0,3.8,1.3,0.8,4.3,0.0,-7.269855834951159,-3.5544425435946323,-1.9536300205509176,-0.4168486179260071,-1.3449346528796011,Done
0,3.8,1.3,0.7,4.4,0.0,-7.272667707307846,-3.5544425435946323,-2.110154232446803,-0.4217149579635588,-1.1863559733028524,Done
0,3.8,1.3,0.8,4.4,0.0,-7.313493507812382,-3.5544425435946323,-2.11428952330607,-0.3902352912700735,-1.254526149641606,Done
0,3.8,1.3,0.9,4.2,0.0,-7.129650648086681,-3.5544425435946323,-1.6635704256332249,-0.4106820771266939,-1.5009556017321302,Done
0,3.8,1.3,0.9,4.3,0.0,-7.325596293216222,-3.5544425435946323,-1.9712693266483257,-0.3853708337555872,-1.4145135892176768,Done
0,3.8,1.3,0.9,4.4,0.0,-7.354394609676092,-3.5544425435946323,-2.115429709010641,-0.361816618416924,-1.3227057386538943,Done
0,3.8,1.3,0.8,4.5,0.0,-7.236636083005578,-3.5544425435946323,-2.1529046061623376,-0.3656343892362201,-1.1636545440123882,Done
0,3.8,1.3,0.9,4.5,0.0,-7.266663691625581,-3.5544425435946323,-2.143397829728201,-0.3395695063954917,-1.229253811907256,Done
0,3.8,1.3,1.0,4.3,0.0,-7.379217022724333,-3.5544425435946323,-1.9853399833955336,-0.356956553470809,-1.4824779422633585,Done
0,3.8,1.3,1.0,4.4,0.0,-7.393559391231975,-3.5544425435946323,-2.112939121783711,-0.3355565799283795,-1.3906211459252518,Done
0,3.8,1.3,1.0,4.5,0.0,-7.294990120499278,-3.5544425435946323,-2.130353151806048,-0.3151825852401089,-1.2950118398584891,Done
0,3.8,1.3,1.1,4.3,0.0,-7.428329092814238,-3.5544425435946323,-1.99540147872176,-0.3305967408668948,-1.5478883296309505,Done
0,3.8,1.3,1.1,4.4,0.0,-7.429647491400829,-3.5544425435946323,-2.106388544896617,-0.3110680021927692,-1.4577484007168096,Done
0,3.8,1.3,1.1,4.5,0.0,-7.321347422999679,-3.5544425435946323,-2.1135534540953813,-0.292664388907724,-1.3606870364019414,Done
0,3.8,1.3,1.2,4.3,0.0,-7.47173646959709,-3.5544425435946323,-2.001144450259744,-0.3061514613218605,-1.609998014420853,Done
