theta,a2,b2,z2,E2,machine_type,status,file_name
0,1.1,4.1,0.0,-1.275203231634805,2,Done,C5_theta=0_a2=1.1_b2=4.1_z2=0.0_2.log
0,1.0,4.0,0.0,-0.4115499234758317,1,Done,C5_theta=0_a2=1.0_b2=4.0_z2=0.0_2.log
0,1.0,4.1,0.0,-1.2035522573132766,1,Done,C5_theta=0_a2=1.0_b2=4.1_z2=0.0_2.log
0,1.0,4.2,0.0,-1.7029717785771936,2,Done,C5_theta=0_a2=1.0_b2=4.2_z2=0.0_2.log
0,1.1,4.0,0.0,-0.5360020992229693,2,Done,C5_theta=0_a2=1.1_b2=4.0_z2=0.0_2.log
0,1.1,4.2,0.0,-1.7378224289423088,2,Done,C5_theta=0_a2=1.1_b2=4.2_z2=0.0_2.log
0,1.2,4.0,0.0,-0.6541396418615477,1,Done,C5_theta=0_a2=1.2_b2=4.0_z2=0.0_2.log
0,1.2,4.1,0.0,-1.3416985838266555,1,Done,C5_theta=0_a2=1.2_b2=4.1_z2=0.0_2.log
0,1.2,4.2,0.0,-1.76810668905091,2,Done,C5_theta=0_a2=1.2_b2=4.2_z2=0.0_2.log
0,1.1,4.3,0.0,-1.99540147872176,2,Done,C5_theta=0_a2=1.1_b2=4.3_z2=0.0_2.log
0,1.2,4.3,0.0,-2.001144450259744,2,Done,C5_theta=0_a2=1.2_b2=4.3_z2=0.0_2.log
0,1.3,4.1,0.0,-1.4036369583627677,1,Done,C5_theta=0_a2=1.3_b2=4.1_z2=0.0_2.log
0,1.3,4.2,0.0,-1.793972651255899,2,Done,C5_theta=0_a2=1.3_b2=4.2_z2=0.0_2.log
0,1.3,4.3,0.0,-2.0024753989564488,2,Done,C5_theta=0_a2=1.3_b2=4.3_z2=0.0_2.log
0,1.2,4.4,0.0,-2.095614825724624,2,Done,C5_theta=0_a2=1.2_b2=4.4_z2=0.0_2.log
0,1.3,4.4,0.0,-2.0806656549830223,1,Done,C5_theta=0_a2=1.3_b2=4.4_z2=0.0_2.log
0,1.4,4.2,0.0,-1.815653121768264,1,Done,C5_theta=0_a2=1.4_b2=4.2_z2=0.0_2.log
0,1.4,4.3,0.0,-1.9995185718289576,2,Done,C5_theta=0_a2=1.4_b2=4.3_z2=0.0_2.log
0,1.4,4.4,0.0,-2.0615868409513496,2,Done,C5_theta=0_a2=1.4_b2=4.4_z2=0.0_2.log
0,1.5,4.2,0.0,-1.833409772196319,1,Done,C5_theta=0_a2=1.5_b2=4.2_z2=0.0_2.log
0,1.5,4.3,0.0,-1.9924063734943047,2,Done,C5_theta=0_a2=1.5_b2=4.3_z2=0.0_2.log
0,1.5,4.4,0.0,-2.038285512127913,1,Done,C5_theta=0_a2=1.5_b2=4.4_z2=0.0_2.log
0,1.6,4.2,0.0,-1.847329199052183,2,Done,C5_theta=0_a2=1.6_b2=4.2_z2=0.0_2.log
0,1.6,4.3,0.0,-1.9810773079516368,1,Done,C5_theta=0_a2=1.6_b2=4.3_z2=0.0_2.log
0,1.6,4.4,0.0,-2.0107026825717185,1,Done,C5_theta=0_a2=1.6_b2=4.4_z2=0.0_2.log
0,1.7,4.2,0.0,-1.8571622807357928,2,Done,C5_theta=0_a2=1.7_b2=4.2_z2=0.0_2.log
0,1.7,4.3,0.0,-1.9653895579394884,1,Done,C5_theta=0_a2=1.7_b2=4.3_z2=0.0_2.log
0,1.7,4.4,0.0,-1.9789519315963844,1,Done,C5_theta=0_a2=1.7_b2=4.4_z2=0.0_2.log
0,1.8,4.2,0.0,-1.862452190034673,2,Done,C5_theta=0_a2=1.8_b2=4.2_z2=0.0_2.log
0,1.8,4.3,0.0,-1.9452552720758831,2,Done,C5_theta=0_a2=1.8_b2=4.3_z2=0.0_2.log
0,1.8,4.4,0.0,-1.943153113606968,1,Done,C5_theta=0_a2=1.8_b2=4.4_z2=0.0_2.log
0,1.9,4.2,0.0,-1.8626699360320345,2,Done,C5_theta=0_a2=1.9_b2=4.2_z2=0.0_2.log
0,1.9,4.3,0.0,-1.9205232204403728,2,Done,C5_theta=0_a2=1.9_b2=4.3_z2=0.0_2.log
0,1.9,4.4,0.0,-1.903311248664977,2,Done,C5_theta=0_a2=1.9_b2=4.4_z2=0.0_2.log
0,2.0,4.2,0.0,-1.857183616113616,2,Done,C5_theta=0_a2=2.0_b2=4.2_z2=0.0_2.log
0,2.0,4.3,0.0,-1.8909342414262933,2,Done,C5_theta=0_a2=2.0_b2=4.3_z2=0.0_2.log
0,2.0,4.4,0.0,-1.8594890878157453,2,Done,C5_theta=0_a2=2.0_b2=4.4_z2=0.0_2.log
0,2.1,4.2,0.0,-1.84530547929171,2,Done,C5_theta=0_a2=2.1_b2=4.2_z2=0.0_2.log
0,2.1,4.3,0.0,-1.8563025920593643,2,Done,C5_theta=0_a2=2.1_b2=4.3_z2=0.0_2.log
0,2.1,4.4,0.0,-1.811873001541244,1,Done,C5_theta=0_a2=2.1_b2=4.4_z2=0.0_2.log
0,0.6,4.1,0.0,-0.873903056504787,2,Done,C5_theta=0_a2=0.6_b2=4.1_z2=0.0_2.log
0,0.5,4.0,0.0,0.2792488526029046,2,Done,C5_theta=0_a2=0.5_b2=4.0_z2=0.0_2.log
0,0.5,4.1,0.0,-0.7905239202809753,1,Done,C5_theta=0_a2=0.5_b2=4.1_z2=0.0_2.log
0,0.5,4.2,0.0,-1.4787329625687562,1,Done,C5_theta=0_a2=0.5_b2=4.2_z2=0.0_2.log
0,0.6,4.0,0.0,0.1417250160593539,1,Done,C5_theta=0_a2=0.6_b2=4.0_z2=0.0_2.log
0,0.6,4.2,0.0,-1.5256914184283232,2,Done,C5_theta=0_a2=0.6_b2=4.2_z2=0.0_2.log
0,0.7,4.0,0.0,-0.0006431977380998,2,Done,C5_theta=0_a2=0.7_b2=4.0_z2=0.0_2.log
0,0.7,4.1,0.0,-0.9598085480101872,2,Done,C5_theta=0_a2=0.7_b2=4.1_z2=0.0_2.log
0,0.7,4.2,0.0,-1.573535918345442,1,Done,C5_theta=0_a2=0.7_b2=4.2_z2=0.0_2.log
0,0.6,4.3,0.0,-1.910530123685021,2,Done,C5_theta=0_a2=0.6_b2=4.3_z2=0.0_2.log
0,0.7,4.3,0.0,-1.933062125288416,1,Done,C5_theta=0_a2=0.7_b2=4.3_z2=0.0_2.log
0,0.8,4.1,0.0,-1.0448418006126303,2,Done,C5_theta=0_a2=0.8_b2=4.1_z2=0.0_2.log
0,0.8,4.2,0.0,-1.6200651573744835,1,Done,C5_theta=0_a2=0.8_b2=4.2_z2=0.0_2.log
0,0.8,4.3,0.0,-1.9536300205509176,2,Done,C5_theta=0_a2=0.8_b2=4.3_z2=0.0_2.log
0,0.7,4.4,0.0,-2.110154232446803,1,Done,C5_theta=0_a2=0.7_b2=4.4_z2=0.0_2.log
0,0.8,4.4,0.0,-2.11428952330607,2,Done,C5_theta=0_a2=0.8_b2=4.4_z2=0.0_2.log
0,0.9,4.2,0.0,-1.6635704256332249,2,Done,C5_theta=0_a2=0.9_b2=4.2_z2=0.0_2.log
0,0.9,4.3,0.0,-1.9712693266483257,2,Done,C5_theta=0_a2=0.9_b2=4.3_z2=0.0_2.log
0,0.9,4.4,0.0,-2.115429709010641,1,Done,C5_theta=0_a2=0.9_b2=4.4_z2=0.0_2.log
0,0.8,4.5,0.0,-2.1529046061623376,2,Done,C5_theta=0_a2=0.8_b2=4.5_z2=0.0_2.log
0,0.9,4.5,0.0,-2.143397829728201,1,Done,C5_theta=0_a2=0.9_b2=4.5_z2=0.0_2.log
0,1.0,4.3,0.0,-1.9853399833955336,1,Done,C5_theta=0_a2=1.0_b2=4.3_z2=0.0_2.log
0,1.0,4.4,0.0,-2.112939121783711,1,Done,C5_theta=0_a2=1.0_b2=4.4_z2=0.0_2.log
0,1.0,4.5,0.0,-2.130353151806048,2,Done,C5_theta=0_a2=1.0_b2=4.5_z2=0.0_2.log
0,1.1,4.4,0.0,-2.106388544896617,1,Done,C5_theta=0_a2=1.1_b2=4.4_z2=0.0_2.log
0,1.1,4.5,0.0,-2.1135534540953813,2,Done,C5_theta=0_a2=1.1_b2=4.5_z2=0.0_2.log
0,1.2,4.5,0.0,-2.092914650187595,1,Done,C5_theta=0_a2=1.2_b2=4.5_z2=0.0_2.log
