theta,z1,a1,a1_row
0,0.0,4.2,4.176664567604812
0,0.1,4.2,4.174577749466935
0,0.2,4.2,4.16831154310805
0,0.3,4.2,4.1578329537246335
0,0.4,4.1,4.143086024280558
0,0.5,4.1,4.123990637557377
0,0.6,4.1,4.100439397124903
0,0.7,4.1,4.072295037663139
0,0.8,4.0,4.039386174335279
0,0.9,4.0,4.001501393669382
0,1.0,4.0,3.958381495891028
0,1.1,3.9,3.9097090182482335
0,1.2,3.9,3.855093908192752
0,1.3,3.8,3.8064269810705755
0,1.4,3.9,3.864867044857265
0,1.5,3.9,3.9170849757822297
0,1.6,4.0,3.9635239983099573
0,1.7,4.0,4.004543497104308
0,1.8,4.0,4.04043647556062
0,1.9,4.1,4.0714421948731285
0,2.0,4.1,4.097755468092661
0,2.1,4.1,4.119533565698493
0,2.2,4.1,4.1372166001997766
0,2.3,4.2,4.151973552164222
0,2.4,4.2,4.162461996634178
0,2.5,4.2,4.168737945820456
5,0.0,4.2,4.164930445186439
5,0.1,4.2,4.162839276261563
5,0.2,4.2,4.156559959777795
5,0.3,4.1,4.146059292487246
5,0.4,4.1,4.1312809596690165
5,0.5,4.1,4.112143992563814
5,0.6,4.1,4.088540470431078
5,0.7,4.1,4.060332309102235
5,0.8,4.0,4.027346900453791
5,0.9,4.0,3.9893712569010917
5,1.0,3.9,3.9461441517329265
5,1.1,3.9,3.8973454961650655
5,1.2,3.8,3.8425817986658455
5,1.3,3.8,3.793918445061062
5,1.4,3.9,3.8525201809850413
5,1.5,3.9,3.9048751164982574
5,1.6,4.0,3.9514304954124104
5,1.7,4.0,3.9925487449392447
5,1.8,4.0,4.028525202657686
5,1.9,4.1,4.059600936577066
5,2.0,4.1,4.085972164013837
5,2.1,4.1,4.107797244728644
5,2.2,4.1,4.126187686917104
5,2.3,4.1,4.14097386275834
5,2.4,4.2,4.151482850831805
5,2.5,4.2,4.157770996415247
10,0.0,4.1,4.129814953723098
10,0.1,4.1,4.1277106819176685
10,0.2,4.1,4.12139188109271
10,0.3,4.1,4.110824714884016
10,0.4,4.1,4.09595178189064
10,0.5,4.1,4.076690522654742
10,0.6,4.1,4.052930844667049
10,0.7,4.0,4.024531799663777
10,0.8,4.0,3.9913170658420807
10,0.9,4.0,3.953068870925521
10,1.0,3.9,3.909519818646399
10,1.1,3.9,3.860341814738775
10,1.2,3.8,3.8051308651328775
10,1.3,3.8,3.756520769512723
10,1.4,3.8,3.815610653673843
10,1.5,3.9,3.8683789004767366
10,1.6,3.9,3.9152850496916836
10,1.7,4.0,3.9567008190049817
10,1.8,4.0,3.9929286623782723
10,1.9,4.0,4.024215149184609
10,2.0,4.1,4.050760767753426
10,2.1,4.1,4.072727187841097
10,2.2,4.1,4.091755697997022
