theta,a,b,z,E,status,machine_type,file_name
0,3.8,0.0,-2.5,-16.32017340324819,Done,2,C28_theta=0_a=3.8_b=0.0_z=-2.5.log
0,3.8,0.0,-2.4,-16.6814246349968,Done,2,C28_theta=0_a=3.8_b=0.0_z=-2.4.log
0,3.8,0.0,-2.3,-17.280677859904245,Done,2,C28_theta=0_a=3.8_b=0.0_z=-2.3.log
0,3.8,0.0,-2.2,-18.08414166397415,Done,1,C28_theta=0_a=3.8_b=0.0_z=-2.2.log
0,3.8,0.0,-2.1,-19.0418035001494,Done,1,C28_theta=0_a=3.8_b=0.0_z=-2.1.log
0,3.8,0.0,-2.0,-20.08896708791144,Done,1,C28_theta=0_a=3.8_b=0.0_z=-2.0.log
0,3.8,0.0,-1.9,-21.16610682825558,Done,2,C28_theta=0_a=3.8_b=0.0_z=-1.9.log
0,3.8,0.0,-1.8,-22.21766298566945,Done,2,C28_theta=0_a=3.8_b=0.0_z=-1.8.log
0,3.8,0.0,-1.7,-23.18119204044342,Done,2,C28_theta=0_a=3.8_b=0.0_z=-1.7.log
0,3.8,0.0,-1.6,-23.996760512469336,Done,1,C28_theta=0_a=3.8_b=0.0_z=-1.6.log
0,3.8,0.0,-1.5,-24.62241308251396,Done,1,C28_theta=0_a=3.8_b=0.0_z=-1.5.log
0,3.8,0.0,-1.4,-25.025387454545125,Done,1,C28_theta=0_a=3.8_b=0.0_z=-1.4.log
0,3.8,0.0,-1.3,-25.18092208309099,Done,2,C28_theta=0_a=3.8_b=0.0_z=-1.3.log
0,3.8,0.0,-1.2,-25.0798302218318,Done,2,C28_theta=0_a=3.8_b=0.0_z=-1.2.log
0,3.8,0.0,-1.1,-24.726046359166503,Done,2,C28_theta=0_a=3.8_b=0.0_z=-1.1.log
0,3.8,0.0,-1.0,-24.137467079795897,Done,1,C28_theta=0_a=3.8_b=0.0_z=-1.0.log
0,3.8,0.0,-0.9,-23.34532983135432,Done,1,C28_theta=0_a=3.8_b=0.0_z=-0.9.log
0,3.8,0.0,-0.8,-22.388295504730195,Done,1,C28_theta=0_a=3.8_b=0.0_z=-0.8.log
0,3.8,0.0,-0.7,-21.321547330124304,Done,2,C28_theta=0_a=3.8_b=0.0_z=-0.7.log
0,3.8,0.0,-0.6,-20.21273088478484,Done,2,C28_theta=0_a=3.8_b=0.0_z=-0.6.log
0,3.8,0.0,-0.5,-19.123724930919707,Done,2,C28_theta=0_a=3.8_b=0.0_z=-0.5.log
0,3.8,0.0,-0.4,-18.114444121718407,Done,1,C28_theta=0_a=3.8_b=0.0_z=-0.4.log
0,3.8,0.0,-0.3,-17.25044442829676,Done,1,C28_theta=0_a=3.8_b=0.0_z=-0.3.log
0,3.8,0.0,-0.2,-16.58914301462937,Done,1,C28_theta=0_a=3.8_b=0.0_z=-0.2.log
0,3.8,0.0,-0.1,-16.1740388746839,Done,2,C28_theta=0_a=3.8_b=0.0_z=-0.1.log
0,3.8,0.0,0.0,-16.033790389541537,Done,2,C28_theta=0_a=3.8_b=0.0_z=0.0.log
0,3.8,0.0,0.1,-16.1740388746839,Done,2,C28_theta=0_a=3.8_b=0.0_z=0.1.log
0,3.8,0.0,0.2,-16.58914301462937,Done,1,C28_theta=0_a=3.8_b=0.0_z=0.2.log
0,3.8,0.0,0.3,-17.25044442829676,Done,1,C28_theta=0_a=3.8_b=0.0_z=0.3.log
0,3.8,0.0,0.4,-18.114444121718407,Done,1,C28_theta=0_a=3.8_b=0.0_z=0.4.log
0,3.8,0.0,0.5,-19.123724930919707,Done,2,C28_theta=0_a=3.8_b=0.0_z=0.5.log
0,3.8,0.0,0.6,-20.21273088478484,Done,2,C28_theta=0_a=3.8_b=0.0_z=0.6.log
0,3.8,0.0,0.7,-21.321547330124304,Done,2,C28_theta=0_a=3.8_b=0.0_z=0.7.log
0,3.8,0.0,0.8,-22.388295504730195,Done,1,C28_theta=0_a=3.8_b=0.0_z=0.8.log
0,3.8,0.0,0.9,-23.34532983135432,Done,2,C28_theta=0_a=3.8_b=0.0_z=0.9.log
0,3.8,0.0,1.0,-24.137467079795897,Done,2,C28_theta=0_a=3.8_b=0.0_z=1.0.log
0,3.8,0.0,1.1,-24.726046359166503,Done,1,C28_theta=0_a=3.8_b=0.0_z=1.1.log
0,3.8,0.0,1.2,-25.0798302218318,Done,1,C28_theta=0_a=3.8_b=0.0_z=1.2.log
0,3.8,0.0,1.3,-25.18092208309099,Done,2,C28_theta=0_a=3.8_b=0.0_z=1.3.log
0,3.8,0.0,1.4,-25.025387454545125,Done,1,C28_theta=0_a=3.8_b=0.0_z=1.4.log
0,3.8,0.0,1.5,-24.62241308251396,Done,2,C28_theta=0_a=3.8_b=0.0_z=1.5.log
0,3.8,0.0,1.6,-23.996760512469336,Done,2,C28_theta=0_a=3.8_b=0.0_z=1.6.log
0,3.8,0.0,1.7,-23.18119204044342,Done,2,C28_theta=0_a=3.8_b=0.0_z=1.7.log
0,3.8,0.0,1.8,-22.21766298566945,Done,1,C28_theta=0_a=3.8_b=0.0_z=1.8.log
0,3.8,0.0,1.9,-21.16610682825558,Done,1,C28_theta=0_a=3.8_b=0.0_z=1.9.log
0,3.8,0.0,2.0,-20.08896708791144,Done,1,C28_theta=0_a=3.8_b=0.0_z=2.0.log
0,3.8,0.0,2.1,-19.0418035001494,Done,2,C28_theta=0_a=3.8_b=0.0_z=2.1.log
0,3.8,0.0,2.2,-18.08414166397415,Done,2,C28_theta=0_a=3.8_b=0.0_z=2.2.log
0,3.8,0.0,2.3,-17.280677859904245,Done,2,C28_theta=0_a=3.8_b=0.0_z=2.3.log
0,3.8,0.0,2.4,-16.6814246349968,Done,1,C28_theta=0_a=3.8_b=0.0_z=2.4.log
0,3.8,0.0,2.5,-16.32017340324819,Done,1,C28_theta=0_a=3.8_b=0.0_z=2.5.log
