z,Et1,Ep1,Et4
-4.0,-1.4838917222805321,-1.0630546508327825,-1.430397122327122
-3.9,-1.519825454961392,-1.0895788710477063,-1.4716565323178656
-3.8,-1.5550030380109092,-1.119696840949473,-1.5130985477590002
-3.7,-1.5893146573362174,-1.1532767836179119,-1.5546735952666495
-3.6,-1.6227985909063136,-1.1899246226093965,-1.5963327291683527
-3.5,-1.6555671631067526,-1.2292682446131948,-1.6379196993948426
-3.4,-1.687688772493857,-1.2705496175040025,-1.6792117399309063
-3.3,-1.7193403769342694,-1.3127176619600505,-1.7200275003706338
-3.2,-1.7507547825371148,-1.354889471520437,-1.7602923070080578
-3.1,-1.7821428327588364,-1.3961407238966785,-1.7999917271663435
-3.0,-1.8136388146522222,-1.4354197123320773,-1.839079952580505
-2.9,-1.84528351642075,-1.471789564442588,-1.877538157903473
-2.8,-1.877119608790963,-1.5044834629661636,-1.9153619507269468
-2.7,-1.9091979199874913,-1.5329830846312689,-1.9526002766215242
-2.6,-1.9415655133052496,-1.556758810998872,-1.9893924429488834
-2.5,-1.9742556467390386,-1.5756443519348977,-2.0257346846337896
-2.4,-2.007321031182073,-1.589615234581288,-2.0616081762855174
-2.3,-2.04071962343005,-1.5988088836311363,-2.0971917583665345
-2.2,-2.074181594143738,-1.603815785914776,-2.1325613594817696
-2.1,-2.107487942397711,-1.6053098871925613,-2.1675186865613796
-2.0,-2.140622352977516,-1.6042387276393129,-2.2017556322098244
-1.9,-2.173482541591511,-1.6017644556995947,-2.235072648123605
-1.8,-2.2056041510222713,-1.5990793404344004,-2.267419533600332
-1.7,-2.2363615536596626,-1.5974760523822624,-2.298616820728057
-1.6,-2.265308589951019,-1.598140585469082,-2.3282378027797677
-1.5,-2.2922475942468736,-1.6020606404345017,-2.355842595206923
-1.4,-2.317075654907967,-1.6100532353302697,-2.3811563486087834
-1.3,-2.3396911153249675,-1.6226417134021176,-2.4040761513460893
-1.2,-2.3599872987688286,-1.6400011500518303,-2.4245900807727594
-1.1,-2.3778782363951905,-1.662001650664024,-2.442615933017805
-1.0,-2.393318747432204,-1.6880765737296315,-2.4580777794326423
-0.9,-2.406375347985886,-1.7175827214086894,-2.4710521761589916
-0.8,-2.4172049155895365,-1.7494037534925155,-2.4817254937806865
-0.7,-2.4260069983720314,-1.7820129381871084,-2.4904077221435728
-0.6,-2.433194497905788,-1.8141395676211687,-2.4973843783227494
-0.5,-2.4391363900649594,-1.8443767644785112,-2.5027464512677398
-0.4,-2.443843342596665,-1.8712203872710234,-2.506718589560478
-0.3,-2.447396304210997,-1.8933645876531955,-2.5096798092708923
-0.2,-2.449871203658404,-1.9097614239581162,-2.5116715259937337
-0.1,-2.4513182417140342,-1.919999249614193,-2.512761510835844
0.0,-2.451810209589894,-1.923567898964393,-2.5131919827254023
0.1,-2.4513182416994823,-1.9199954845389584,-2.5127596283418825
0.2,-2.4498705761361634,-1.9097526388504775,-2.5116658784245374
0.3,-2.4473950491810683,-1.8933520374557702,-2.5096716516272863
0.4,-2.443841460029944,-1.8712046994915,-2.5067072944075335
0.5,-2.439133252541069,-1.8443585666973377,-2.5027326460403856
0.6,-2.433190105322865,-1.8141182323161047,-2.497367435556953
0.7,-2.4260026057745563,-1.7819897202571156,-2.4903870143316453
0.8,-2.4171992679912364,-1.7493805356643861,-2.4817022759089014
0.9,-2.4063678178354166,-1.7175582484924234,-2.471025820777868
1.0,-2.3933105898322538,-1.6880527282919502,-2.4580482864403166
1.1,-2.3778700787370326,-1.6619796878221678,-2.442585812546895
1.2,-2.359977886095294,-1.6399798147467664,-2.42455870527192
1.3,-2.3396804476506077,-1.622622260620119,-2.404044775874354
1.4,-2.3170637322036782,-1.6100369200576097,-2.3811249730933923
1.5,-2.292235671557137,-1.6020455802063225,-2.355811847228324
1.6,-2.265296667275834,-1.5981292902724817,-2.328210192368715
1.7,-2.2363490034331335,-1.597466012215591,-2.298592975392239
1.8,-2.205591600824846,-1.5990718102984829,-2.2673994532960933
1.9,-2.1734712464094628,-1.601759435623535,-2.235057587880874
2.0,-2.140611057766364,-1.604233707592357,-2.2017443369986722
2.1,-2.107478529767832,-1.6053067496832227,-2.167511156440014
2.2,-2.0741728090360994,-1.60381327586947,-2.132558221972431
2.3,-2.0407120932941325,-1.59880574606359,-2.097191130829742
2.4,-2.0073147560906364,-1.5896120970573975,-2.061610058808583
2.5,-1.97424937163305,-1.5756393318879418,-2.0257371946354397
2.6,-1.9415598656778457,-1.5567512808920583,-1.989396208024118
2.7,-1.9091935274045682,-1.532972416942357,-1.9526034141745185
2.8,-1.8771145886857994,-1.5044709127396345,-1.9153625782200834
2.9,-1.8452791238960344,-1.4717745042289607,-1.8775350203650305
3.0,-1.8136337945761625,-1.4354015145509038,-1.839073049966828
3.1,-1.7821371851459844,-1.3961193885770626,-1.7999785494903335
3.2,-1.7507478799088858,-1.3548643711110344,-1.7602741092414362
3.3,-1.719334101799177,-1.3126906790421344,-1.7200030274543678
3.4,-1.687680614864803,-1.2705207520193653,-1.679180364459171
3.5,-1.6555583779991139,-1.2292381241568364,-1.6378826762811514
3.6,-1.6227891782764345,-1.1898938746599015,-1.5962906859640498
3.7,-1.5893046171404421,-1.1532454081461765,-1.554627159537631
3.8,-1.5549929978878936,-1.1196667205222184,-1.5130489744478837
3.9,-1.5198154147656169,-1.0895506331144134,-1.471604449005099
4.0,-1.483882309650653,-1.0630282953934511,-1.430344411463011
