cx,cy,cz,theta1,theta2,a1,z1,a2,b2,z2,E,status,machine_type,file_name,E1,E2,E3,E4
0.9,2.1,8.3,0,0,3.8,1.3,1.2,4.4,0.0,-2.1176027761684963,Done,2,C5_theta1=0_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=0.9_cy=2.1_cz=8.3.log,-0.5300062412134139,-0.6831607243657345,-0.5868360568128992,-0.3175997537764488
2.7,3.4,8.7,0,180,3.8,1.3,1.2,4.4,0.0,-2.036803333554417,Done,2,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.7_cy=3.4_cz=8.7.log,-0.1768335730303079,-0.5777974028023891,-0.4808966810815036,-0.8012756766402163
1.6,1.6,8.2,180,0,3.8,1.3,1.2,4.4,0.0,-2.868079635722097,Done,2,C5_theta1=180_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.6_cy=1.6_cz=8.2.log,-0.578624460962601,-1.0999152157164644,-0.6683860014309175,-0.521153957612114
0.8,2.0,8.2,0,0,3.8,1.3,1.2,4.4,0.0,-1.9847375737153925,Done,1,C5_theta1=0_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=0.8_cy=2.0_cz=8.2.log,-0.3821027616795618,-0.71682475329726,-0.5867789533804171,-0.2990311053581536
0.8,2.0,8.3,0,0,3.8,1.3,1.2,4.4,0.0,-2.0573254205664853,Done,1,C5_theta1=0_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=0.8_cy=2.0_cz=8.3.log,-0.4824861639208393,-0.6936997548182262,-0.5994929335138295,-0.2816465683135902
0.8,2.0,8.4,0,0,3.8,1.3,1.2,4.4,0.0,-2.061008904245682,Done,1,C5_theta1=0_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=0.8_cy=2.0_cz=8.4.log,-0.5356607338035246,-0.667848225319176,-0.5922364078578539,-0.2652635372651275
0.8,2.1,8.2,0,0,3.8,1.3,1.2,4.4,0.0,-2.036575547317625,Done,2,C5_theta1=0_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=0.8_cy=2.1_cz=8.2.log,-0.4572539867804153,-0.7161514350882499,-0.5516634937812341,-0.3115066316677257
0.8,2.1,8.3,0,0,3.8,1.3,1.2,4.4,0.0,-2.092513043840881,Done,2,C5_theta1=0_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=0.8_cy=2.1_cz=8.3.log,-0.5262474563060096,-0.6879925513640046,-0.5850156503292965,-0.2932573858415708
0.8,2.1,8.4,0,0,3.8,1.3,1.2,4.4,0.0,-2.0836482100130524,Done,2,C5_theta1=0_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=0.8_cy=2.1_cz=8.4.log,-0.5575344773678808,-0.6581557058962062,-0.5919000624999171,-0.2760579642490484
0.8,2.2,8.2,0,0,3.8,1.3,1.2,4.4,0.0,-2.0436883731890703,Done,1,C5_theta1=0_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=0.8_cy=2.2_cz=8.2.log,-0.5127365384541918,-0.7097075349010993,-0.497156092649675,-0.3240882071841042
